M200,m200_msun,z,c200,weight
300543830311349.75,300543830311349.75,0.1,2.3098746250852806,0.0025
155221751761577.2,155221751761577.2,0.1,3.1465212470190917,0.0025
199424574418845.9,199424574418845.9,0.1,3.8819454711888572,0.0025
107940479310285.17,107940479310285.17,0.1,3.281014298379883,0.0025
826182404921443.5,826182404921443.5,0.1,4.196363753389312,0.0025
109227581423138.67,109227581423138.67,0.1,2.3393261826917113,0.0025
712443108372514.1,712443108372514.1,0.1,2.0259696236108815,0.0025
150821545950014.34,150821545950014.34,0.1,4.687473158991275,0.0025
196082230934774.0,196082230934774.0,0.1,7.482816326793779,0.0025
146040987873154.56,146040987873154.56,0.1,5.091735700827624,0.0025
262371285750273.5,262371285750273.5,0.1,4.741059758834555,0.0025
880372296422221.2,880372296422221.2,0.1,2.0313776862954986,0.0025
198182685394175.1,198182685394175.1,0.1,3.0073685953793086,0.0025
106796627288339.19,106796627288339.19,0.1,2.745557486954903,0.0025
192518003993763.47,192518003993763.47,0.1,2.142632636405817,0.0025
162890836454546.47,162890836454546.47,0.1,2.7740385564273793,0.0025
188724777621728.38,188724777621728.38,0.1,2.2091247372552334,0.0025
153520321817247.62,153520321817247.62,0.1,4.816788584521662,0.0025
109542559861061.94,109542559861061.94,0.1,5.173730110345695,0.0025
226089419150053.34,226089419150053.34,0.1,3.809611931799543,0.0025
433453777265503.56,433453777265503.56,0.1,1.840582783727595,0.0025
219155992663382.72,219155992663382.72,0.1,3.3693292587063097,0.0025
122982170514202.42,122982170514202.42,0.1,3.3738993816406393,0.0025
834471023201353.1,834471023201353.1,0.1,4.381597728193148,0.0025
117464818554656.47,117464818554656.47,0.1,2.8000087505272306,0.0025
476132830915008.4,476132830915008.4,0.1,1.542421361793155,0.0025
541365441852897.44,541365441852897.44,0.1,4.547552657640284,0.0025
326477816851805.25,326477816851805.25,0.1,1.9192397398871064,0.0025
112564777600381.62,112564777600381.62,0.1,9.77383507949131,0.0025
612245244899694.1,612245244899694.1,0.1,3.0374574029551744,0.0025
231397352149104.16,231397352149104.16,0.1,4.61076106591489,0.0025
159019828332017.22,159019828332017.22,0.1,3.902576615420587,0.0025
203503948533520.5,203503948533520.5,0.1,5.907128371369933,0.0025
111066755228647.27,111066755228647.27,0.1,2.73504955331195,0.0025
388269787301010.4,388269787301010.4,0.1,6.377597882459009,0.0025
444343988091961.75,444343988091961.75,0.1,1.5,0.0025
610969685826236.8,610969685826236.8,0.1,2.9664262271821262,0.0025
356600867644145.94,356600867644145.94,0.1,3.514816752428801,0.0025
129235721182467.5,129235721182467.5,0.1,3.2329768525148723,0.0025
283632262857035.8,283632262857035.8,0.1,4.931940595188249,0.0025
186289655607187.62,186289655607187.62,0.1,3.328337450304269,0.0025
276359322803021.84,276359322803021.84,0.1,1.9059157476865116,0.0025
331592247322573.56,331592247322573.56,0.1,3.88781941591419,0.0025
145494104489002.22,145494104489002.22,0.1,3.7652851252272033,0.0025
161327529552184.38,161327529552184.38,0.1,2.8205401457865666,0.0025
144472197158854.03,144472197158854.03,0.1,5.677162141498752,0.0025
195296192343914.97,195296192343914.97,0.1,2.6600848313340455,0.0025
